00544,40.9223,-72.6371,Long Island,http://longisland.craigslist.org/,New York
01001,42.0702,-72.6227,Hartford,http://hartford.craigslist.org/,Connecticut
01004,42.3845,-72.5132,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01005,42.4097,-72.1084,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01007,42.2751,-72.411,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01008,42.1829,-72.9361,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01012,42.3923,-72.8256,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01013,42.1596,-72.6082,Hartford,http://hartford.craigslist.org/,Connecticut
01014,42.1707,-72.6048,Hartford,http://hartford.craigslist.org/,Connecticut
01020,42.1764,-72.5761,Hartford,http://hartford.craigslist.org/,Connecticut
01030,42.0718,-72.6751,Hartford,http://hartford.craigslist.org/,Connecticut
01031,42.3322,-72.1986,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01032,42.4662,-72.8441,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01034,42.1127,-72.952,Hartford,http://hartford.craigslist.org/,Connecticut
01035,42.3606,-72.5715,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01040,42.202,-72.6262,Hartford,http://hartford.craigslist.org/,Connecticut
01041,42.1707,-72.6048,Hartford,http://hartford.craigslist.org/,Connecticut
01060,42.3223,-72.6313,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01063,42.3179,-72.6402,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01068,42.348,-72.0513,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01069,42.1762,-72.3288,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01072,42.482,-72.4213,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01073,42.2247,-72.7194,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01074,42.376,-72.1494,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01075,42.2375,-72.5811,Hartford,http://hartford.craigslist.org/,Connecticut
01077,42.0511,-72.7706,Hartford,http://hartford.craigslist.org/,Connecticut
01079,42.1929,-72.3296,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01080,42.1819,-72.3624,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01081,42.0627,-72.2046,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01083,42.204,-72.1994,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01084,42.3903,-72.8709,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01085,42.1537,-72.7698,Hartford,http://hartford.craigslist.org/,Connecticut
01086,42.1734,-72.848,Hartford,http://hartford.craigslist.org/,Connecticut
01088,42.3906,-72.6469,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01089,42.1151,-72.6411,Hartford,http://hartford.craigslist.org/,Connecticut
01090,42.1707,-72.6048,Hartford,http://hartford.craigslist.org/,Connecticut
01092,42.2029,-72.229,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01093,42.4427,-72.6525,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01094,42.3582,-72.1408,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01095,42.1245,-72.4464,Hartford,http://hartford.craigslist.org/,Connecticut
